Name,Comedy,Action,Fantasy,Adventure,Kids,Drama,Sci-Fi,Music,Shounen,Slice of Life,Romance,School,Supernatural,Hentai,Historical,Mecha,Magic,Seinen,Ecchi,Mystery,Sports,Shoujo,Parody,Super Power,Military,Dementia,Demons,Space,Horror,Martial Arts,Harem,Game,Psychological,Police,Samurai,Vampire,Cars,Thriller,Shounen Ai,Josei,Shoujo Ai,Unknown,Yaoi,Yuri,Genres
Minami no Shima no Dera-chan,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Comedy, Slice of Life"
Tobacco wa Dasai,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"School, Slice of Life"
Tokyo Ravens: Kon ga Oshiete Moshi Agemasu! Maru Wakari Tokyo Ravens,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Shounen, Supernatural"
Toki: Kono Hoshi no Mirai wo Mitsumete,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Historical, Drama"
Duel Masters VS,1.0,1.0,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Action, Adventure, Comedy, Shounen"
Re:␣Hamatora,1.0,,,,,1.0,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,"Mystery, Comedy, Super Power, Drama"
Mujaki no Rakuen,1.0,,,,,,,,,,1.0,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,"Comedy, Ecchi, Romance, School, Seinen"
Karneval Specials,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,"Comedy, Josei"
Oneechan ga Kita: Hajimete no… Kitaa!,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Slice of Life, Comedy"
Shin Strange+,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,"Slice of Life, Comedy, Josei"
Toki wa Meguru: Tokyo Station,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Slice of Life
Love Stage!!: Chotto ja Nakutte,1.0,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,"Comedy, Romance, Shounen Ai"
"Ano Natsu de Matteru: Bokutachi wa Koukou Saigo no Natsu wo Sugoshinagara, Ano Natsu de Matteiru.",1.0,,,,,1.0,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Comedy, Drama, Romance, Sci-Fi, Slice of Life"
Sekai Seifuku: Bouryaku no Zvezda - Shin Zvezda Daisakusen,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Action, Comedy, Fantasy"
Saimin Jutsu Zero Special,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hentai
Kakushi Dere Special,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hentai
Itadaki! Seieki♥ Special,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hentai
Decorator,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Music
Witch Craft Works Specials,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Magic, Comedy"
Gakumon!: Ookami Shoujo wa Kujikenai,1.0,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Comedy, School, Shounen"
Choubakuretsu Ijigen Menko Battle: Gigant Shooter Tsukasa,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,"Action, Game, Comedy, Kids"
Otsuki-sama to Oujo,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fantasy
Calligraffiti,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,"Dementia, Music"
Enbi,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hentai
Aterui,,1.0,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Action, Fantasy, Historical"
Two Down Full Base,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,"Sports, Kids"
Gudetama,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Comedy, Kids"
Choboraunyopomi Gekijou Dai Ni Maku Ai Mai Mii: Mousou Catastrophe,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Comedy, Slice of Life"
Neko no Dayan,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kids, Magic"
Kagirinaki Rakuen,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Slice of Life
Ikkyuu-san: Ooabare Yancha-hime,1.0,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Comedy, Historical, Kids"
12-sai.,,,,,,,,,,,1.0,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,"Romance, School, Shoujo"
Romeo no Aoi Sora Specials,,,,1.0,,1.0,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Adventure, Drama, Historical, Slice of Life"
Akage no Anne Specials,,,,,1.0,1.0,,,,1.0,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,"Drama, Historical, Kids, Shoujo, Slice of Life"
Haha wo Tazunete Sanzenri Specials,,,,1.0,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Adventure, Drama, Slice of Life"
The iDOLM@STER Cinderella Girls,1.0,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Comedy, Drama, Music"
Saitama Bousou Saizensen Flag! Shinimonogurui no Seishun!!,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Drama, Slice of Life"
Seihou Tenshi Angel Links: Meifon no Special Kaisetsu Corner,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,"Sci-Fi, Space, Comedy"
Legend of Basara: Shinbashi Theater,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Comedy
Ninja Slayer From Animation,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Action
Gaki Deka,1.0,,,,1.0,,,,1.0,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,"Comedy, Ecchi, Kids, Parody, Shounen"
Gaki Deka (OVA),1.0,,,,1.0,,,,1.0,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,"Comedy, Ecchi, Kids, Parody, Shounen"
Bunna yo Ki kara Orite Koi,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Adventure, Kids"
Kakkun Cafe,1.0,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,"Comedy, Parody, Slice of Life"
Eiyuu Banka Koushi-den,,,,1.0,,1.0,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Adventure, Drama, Historical, Romance"
Sore Ike! Anpanman: Ringo Boy to Minna no Negai,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kids, Fantasy, Comedy"
Haiyore! Nyaruko-san W OVA,1.0,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,"Comedy, Ecchi, Parody"
"Sagashita no wa Oheya, Mitsuketa no wa Mirai",,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Romance, Slice of Life"
Non Non Biyori Repeat,1.0,,,,,,,,,1.0,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,"Comedy, School, Seinen, Slice of Life"
Aoki Hagane no Arpeggio: Ars Nova - Kirikumas,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,"Comedy, Parody"
Poppoya-san: Nonki Ekichou,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kids
Poppoya-san: Nonki Kikanshi,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kids
Kobito to Ao Mushi,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kids, Music"
Kappa Kawatarou,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kids, Supernatural"
Ukare Violin,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Fantasy, Kids"
Nezumi no Yomeiri,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kids, Fantasy"
Ookami to Nanahiki no Ko Yagi,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Fantasy, Kids"
Ninja Hattori-kun: Nin Nin Furusato Daisakusen no Maki,1.0,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,"Comedy, Kids, Martial Arts, Slice of Life"
Hanawa Hekonai Kappa Matsuri,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kids, Comedy"
Hi no Tori: Hagoromo-hen,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Drama
Glass no Chikyuu wo Sukue Unico Special,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kids, Fantasy"
Renai Fuyou Gakuha The Animation,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hentai
Ookami Shoujo to Kuro Ouji,1.0,,,,,,,,,,1.0,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,"Comedy, Romance, School, Shoujo"
Hi no Tori: Kizuna-hen,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Fantasy, Kids"
Manga Edo Erobanashi,1.0,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Comedy, Hentai, Historical"
Strange+ Special,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,"Slice of Life, Comedy, Josei"
Kara no Kyoukai: Manner Movies,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Action, Comedy"
Kumo ni Noru,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,"Action, Seinen"
Toradora! Recap,1.0,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Slice of Life, Comedy, Romance, School"
Gatchaman Crowds: Embrace,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Adventure, Sci-Fi"
Sabaku no Kuni no Oujosama,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Adventure, Fantasy"
Hana to Shounen,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fantasy
Kakumei no Wakaki Sora,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Drama, Historical"
Nagareboshi no Okurimono,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Fantasy, Kids"
Rennyuu Tales The Animation,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hentai
Carino Coni,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Fantasy, Kids"
Teppen,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Action, Comedy"
Strike Witches: Operation Victory Arrow,,1.0,,,,,1.0,,,,,,,,,,1.0,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,"Action, Ecchi, Magic, Military, Sci-Fi"
Kansuke-san to Fushigi na Jitensha,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Fantasy, Kids"
Minna Tomodachi,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Comedy, Fantasy, Kids"
"Boku datte, Kirei ni Shitainda",,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kids
KoSys! Kochira Keihime Tetsudou: Kouhou System-ka,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Slice of Life, Comedy"
Kenzen Robo Daimidaler Specials,1.0,,,,,,,,,,,,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,"Ecchi, Comedy, Mecha, Seinen"
Neko Pitcher,1.0,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,"Comedy, Sports, Kids"
Peter Pan no Bouken Specials,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Adventure, Fantasy"
Wakakusa Monogatari: Nan to Jo-sensei Specials,,,,,,1.0,,,,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Drama, Historical, School, Slice of Life"
Kishin Houkou Demonbane (TV) Specials,,,,,,,1.0,,,,,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Magic, Mecha, Sci-Fi, Supernatural"
Nanatsu no Taizai,,1.0,1.0,1.0,,,,,1.0,,,,1.0,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,"Action, Adventure, Ecchi, Fantasy, Magic, Shounen, Supernatural"
Oira no Ski,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,"Comedy, Sports"
Konna ni Yasashiku Sareta no,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hentai
Manga Aesop Monogatari,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Adventure, Fantasy, Kids"
Yamiyo no Jidaigeki,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,"Historical, Horror"
Yamiyo no Jidaigeki (OVA),,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,"Historical, Horror"
Toppuku Kyousou Kyoku,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Comedy, Shounen"
Shingeki no Kyojin Movie 1: Guren no Yumiya,,1.0,1.0,,,1.0,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,"Action, Drama, Fantasy, Shounen, Super Power"
Shingeki no Kyojin Movie 2: Jiyuu no Tsubasa,,1.0,1.0,,,1.0,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,"Action, Super Power, Drama, Fantasy, Shounen"
Akuma to Himegimi,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,"Comedy, Shoujo"
Blade & Soul Specials,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Comedy
Hi☆sCoool! SeHa Girls,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,"Comedy, Game"
Dango San Kyoudai Attoiuma Gekijou,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kids, Music"
Doctor Mambo & Kaitou Jibako: Uchuu yori Ai wo Komete!!,,,1.0,1.0,1.0,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,"Adventure, Fantasy, Kids, Mystery, Sci-Fi"
Gokuu no Daibouken Pilot,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Comedy, Fantasy"
Onimaru: Senjou ni Kakeru Itsutsu no Seishun,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Action, Adventure"
Ys IV: The Dawn of Ys,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,"Action, Adventure, Fantasy, Game"
Komatsu Sakyo Anime Gekijou,1.0,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,"Comedy, Parody, Sci-Fi, Space"
Mahou Shoujo Madoka★Magica Movie 3: Hangyaku no Monogatari - Magica Quartet x Nisioisin,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Comedy
Moonrakers,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,"Drama, Sci-Fi, Space"
Meisou! Underworld,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,"Action, Supernatural, Thriller"
Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku,1.0,,,,,1.0,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Slice of Life, Comedy, Drama, Romance, School"
Pokemon XY: Sora no Hahen,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Adventure, Fantasy, Kids"
Dennou Sentai Voogie's★Angel Gaiden: Susume! Super★Angels!,1.0,1.0,,,,,1.0,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,"Action, Comedy, Mecha, Parody, Sci-Fi"
Go! Go! Kadendanshi 2nd Season,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,"Action, Seinen"
Ai no Kiseki: Doctor Norman Monogatari,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Drama, Slice of Life"
Ganbare Swimmy,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Adventure
Ojisan Kaizou Kouza,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Comedy
Saru Kani Gassen: Ijimekkozaru to Shoujiki Kani-san,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Comedy, Kids"
Ji no Nai Hagaki,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Slice of Life
Puchimas!!: Petit Petit iDOLM@STER - Fuyu→Kotatsu←Haru,1.0,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Comedy, Music, Slice of Life"
Gondora,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,Dementia
Momon's Sand Witch,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Comedy, Kids"
Momon's Sand Witch Episode 0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Comedy, Kids"
Pyuu to Fuku! Jaguar: Return of Yaku Ichinenburi,1.0,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Comedy, Music, Shounen"
REACH x Thermae Romae: Pietrada no Kekkon,1.0,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,"Comedy, Historical, Seinen"
Lovely Movie: Itoshi no Muco,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Slice of Life
Lovely Movie: Itoshi no Muco Specials,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Slice of Life
Lovely Movie: Itoshi no Muco Season 2,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Slice of Life
Tuzki: Love Assassin,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Comedy, Romance"
Hoshi no Yuuenchi,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sci-Fi, Adventure, Kids"
"Subarashii Sekai Ryokou: Alaska no Tabi ""Daigo Hyougaki""",,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Adventure, Sci-Fi"
The Adventures of Hello Kitty & Friends,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Fantasy, Kids"
Sora wa Koko ni Aru,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Music
Uchuu Senkan Yamato 2199: Tsuioku no Koukai,,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,"Action, Military, Sci-Fi, Space, Drama"
Kyutai Panic Adventure!,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,"Action, Martial Arts, Shounen, Super Power"
Kyutai Panic Adventure Returns!,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,"Action, Shounen, Super Power"
Mobile Suit Gundam Unicorn: One of Seventy Two,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mecha
Majimoji Rurumo,1.0,,1.0,,,,,,1.0,,,1.0,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,"Comedy, Magic, Ecchi, Fantasy, School, Shounen"
Fox Wood Monogatari,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Adventure, Kids"
Fuku-chan no Kishuu,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Comedy, Historical"
Fuku-chan no Zousan Butai,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Comedy, Historical"
Fuku-chan,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kids, Slice of Life"
Fukuyama Gekijou: Natsu no Himitsu,,,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Music, Kids, Fantasy"
Something Great Chizu ni Nai Machi,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Slice of Life
Fuichin-san,,,,,1.0,1.0,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,"Drama, Historical, Kids, Shoujo"
Futari Ecchi (2014),1.0,,,,,,,,,1.0,1.0,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,"Comedy, Ecchi, Romance, Seinen, Slice of Life"
Sarusuberi: Miss Hokusai,,,,,,1.0,,,,,,,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,"Historical, Supernatural, Drama, Seinen"
Maken-Ki! Two Specials,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,Ecchi
Cardfight!! Vanguard Movie: Neon Messiah,,1.0,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,"Action, Adventure, Game, Demons, Shounen"
Lance N' Masques,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fantasy
Manabu no Natsuyasumi,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Fantasy, Kids"
Sei Shoujo The Animation,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hentai
Project758,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Drama
Shijou Saikyou no Deshi Kenichi Specials,1.0,1.0,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,"Action, Martial Arts, Comedy, School, Shounen"
Denki-gai no Honya-san,1.0,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,"Comedy, Seinen, Slice of Life"
Selector Spread WIXOSS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,"Game, Psychological"
Jarujio Animal,1.0,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,"Adventure, Comedy, Parody"
Monster ni Natta Domerica,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Action, Fantasy"
Kaseki Dorobou to Kyouryuuseki,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Adventure, Kids"
Kanai,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mecha
Interior,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Adventure, Comedy"
Gunners,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Action, Mecha"
gdgd Fairies Movie: tte Iu Eiga wa Dou kana...?,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Comedy, Fantasy"
Konna Watashitachi ga Nariyuki de Heroine ni Natta Kekka www,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,"Space, Comedy"
Persona 4 the Golden Animation,,,,1.0,,,1.0,,,,,1.0,1.0,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,"Sci-Fi, Adventure, Mystery, Super Power, Supernatural, School"
Shura ga Yuku,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,"Drama, Seinen"
Be-Bop Kaizokuban,1.0,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,"Comedy, School, Seinen"
High School Jingi,1.0,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,"Action, Comedy, Seinen"
